,26.08.18,02.09.18,09.09.18,16.09.18,23.09.18,30.09.18,07.10.18,14.10.18,21.10.18,28.10.18,04.11.18,11.11.18,18.11.18,25.11.18,02.12.18,09.12.18,16.12.18,23.12.18,30.12.18,06.01.19
Australia,,,,,,11,66,21,,,,,,,15000,,,,,2
Austria,,,,,,,,,,,,,,,,,,,,
Belgium,,,1000,,,,1500,,,,,,,,2500,,,,,
Brazil,,,,,,,,,,,18,18,,,,,31,,,
Canada,,,50,,,,,,,,10,,,,,60,,100,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,
Czechia,,,,,,,,,,,,,,,,,15,,,
Denmark,,,,,,,,,,,,,,,1,,,,,
Finland,,,150,,100,35,20,83,,,,,,,8900,3,3,3,4,5
France,,,,,,,,,,,,,,,,,,,,
Germany,,,5,,,4,10,,,,,,,,50,,,,,
Greece,,,,,,,,,,,,,,,,,,,,1
Hungary,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,2,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,2,,,,,,,,,,,,,,
Japan,,,,,,,1,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,
Netherlands,,,100,2,24,21,21,6,,,,,,,,,,,,
Norway,,,1100,,,2,3,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,1,,1,,,,,,,,,,,,
Sweden,34,82,2280,46,86,157,200,257,101,65,58,67,10,10,311,81,72,41,10,110
Switzerland,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,
UK,,,1,,,1,,3,,,,,,,10,,,,,
USA,,,5,,,,,,,,,,,,5,,1,,,
Uganda,,,,,,,,,,,,,,,,,,,,
Total,34,82,4691,48,210,234,1821,371,101,65,86,87,10,10,26777,144,122,144,14,118
