,06.01.19,13.01.19,20.01.19,27.01.19,03.02.19,10.02.19,17.02.19,24.02.19,03.03.19,10.03.19,17.03.19,24.03.19,31.03.19,07.04.19,14.04.19,21.04.19,28.04.19,05.05.19,12.05.19,19.05.19,26.05.19,02.06.19,09.06.19,16.06.19,23.06.19,30.06.19,07.07.19,14.07.19,21.07.19,28.07.19,04.08.19,11.08.19,18.08.19,25.08.19,01.09.19,08.09.19,15.09.19,22.09.19,29.09.19,06.10.19,13.10.19,20.10.19,27.10.19,03.11.19,10.11.19,17.11.19,24.11.19,01.12.19,08.12.19,15.12.19,22.12.19,29.12.19,05.01.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhazia,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,570,20,800,,24,,,100,,1,500,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,200,10,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,300,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,,,,,,,,10,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,
Arctic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
Argentina,,,,,,,,,,,715,50,,,,,50,,,,349,,,,,,,,,,,,,,,4,,1393,15000,230,,,,,,,,1551,,,,,10
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,50,,20,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,,,,,,,,,150,,,,,
Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Australia,2,,,,11,1,100,,,,173200,,,8,7,11,,25000,,6,4500,,,,11,,,,,1,,,,50,,,302,400000,1216,5,,,,14,,10,,10000,,,3,,250
Austria,,,,,,,,,,,50000,,,,,,,,,,11235,,,,,,,,,,,,,,,,,31000,150000,,,,,,,,,38880,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,600,,,,,,,,,,1407,,,7,,50,,,,,,,,,,,400,6575,2206,110,107,7,,,,15,,5000,102,,100,20,31
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,
Belgium,,3000,12500,111300,,,,,,,60000,1700,15000,,,,800,,,,12420,,,,,,,,,,,,,,,2000,,30000,302,180,,,,,,,,3000,2400,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,316,,,,,,,,,,100,,,,,,,,,,,,,,,,,2350,820,150,,100,,,12,,,,100,,,,
Bosnia and Herzegovina,,,,,,,,,,,20,,,,,,,,,,50,,,,,,,,,,,,,,,,,220,140,,,,,,,,,60,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Brazil,,,,,,,,,,,437,,3,4,1,4,27,1,1,6,115,,,15,,20,,,,,,,,,,,,20000,1449,268,1,11,106,11,1,1,2,341,2,1,2,2,2
British Virgin Islands,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,51,,,,,,,,,,65,,,,,,,,,,,,,,,,,850,80,,4,,,,,,,70,,10,,,
Burkina Faso,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3310,,,,,,,,,,,,,,,
CNMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,65,,,35,,,,80,425,170235,264,136,187,15,42,10230,10000,59,48,4119,2023,143,3,37,67,20,12,14,1319,24,4,4,17,5011,30,207,8971,1023725,743,1124,2223,40,44,49,140,13,40000,283,279,16,31,61
