Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Twitter ID
Erste Group Bank,17.022,11.479,2.025,271.516,391,Financials,Major Banks,Europe,Austria,Austria,Andreas Treichl,http://www.forbes.com/companies/erste-group-bank/,0.00745812401479102,0.176409094868891,@ErsteGroup
OMV Group,18.173,27.052,1.698,44.111,405,Energy,Oil & Gas Operations,Europe,Austria,Austria,Rainer Seele,http://www.forbes.com/companies/omv-group/,0.038493799732493,0.062768002365814,@omv
Raiffeisen Bank International,8.88,8.833,1.426,160.173,636,Financials,Regional Banks,Europe,Austria,Austria,Sergey Monin,http://www.forbes.com/companies/raiffeisen-bank-international/,0.00890287376773863,0.161440054341673,@raiffeisen_at
Voestalpine,6.11,15.792,0.592,17.446,1162,Materials,Iron & Steel,Europe,Austria,Austria,Wolfgang Eder,http://www.forbes.com/companies/voestalpine/,0.0339332798349192,0.0374873353596758,@voestalpine
Vienna Insurance Group,3.634,11.902,0.307,57.188,1192,Financials,Diversified Insurance,Europe,Austria,Austria,Elisabeth Stadler,http://www.forbes.com/companies/vienna-insurance-group/,0.00536825907533049,0.0257939842043354,@ViennaInsurance
STRABAG,3.542,17.641,0.456,13.348,1362,Industrials,Construction Services,Europe,Austria,Austria,Thomas Birtel,http://www.forbes.com/companies/strabag/,0.0341624213365298,0.0258488747803413,No Twitter
Verbund,17.164,3.36,0.511,13.38,1399,Utilities,Electric Utilities,Europe,Austria,Austria,Wolfgang Anzengruber,http://www.forbes.com/companies/verbund/,0.0381913303437967,0.152083333333333,@verbund
Bawag Group,5.037,1.878,0.513,51.097,1424,Financials,Regional Banks,Europe,Austria,Austria,Anas Abuzaakouk,http://www.forbes.com/companies/bawag-group/,0.0100397283597863,0.273162939297125,No Twitter
Uniqa,3.282,6.698,0.287,32.433,1607,Financials,Diversified Insurance,Europe,Austria,Austria,Andreas Brandstetter,http://www.forbes.com/companies/uniqa/,0.00884901180896001,0.0428486115258286,@uniqagroup
Anheuser-Busch InBev,175.653,54.62,4.33,233.841,69,Consumer Staples,Beverages,Europe,Belgium,Belgium,Carlos de Brito,http://www.forbes.com/companies/anheuser-busch-inbev/,0.0185168554701699,0.079274990845844,@abinbev
KBC Group,31.346,14.965,2.942,324.435,254,Financials,Regional Banks,Europe,Belgium,Belgium,Johan Thijs,http://www.forbes.com/companies/kbc-group/,0.00906807218703284,0.196592048112262,@kbc_group
Ageas,10.179,12.315,0.955,115.488,605,Financials,Diversified Insurance,Europe,Belgium,Belgium,Bart de Smet,http://www.forbes.com/companies/ageas/,0.00826925741202549,0.0775477060495331,@AgeasGroup
Solvay,12.787,13.33,1.012,25.149,708,Materials,Diversified Chemicals,Europe,Belgium,Belgium,Ilham Kadri,http://www.forbes.com/companies/solvay/,0.0402401685951728,0.0759189797449362,@SolvayGroup
Dexia,0.009,11.049,-0.5587,196.545,1074,Financials,Major Banks,Europe,Belgium,Belgium,Wouter Devriendt,http://www.forbes.com/companies/dexia/,-0.00284260601897784,-0.0505656620508643,@DBBNew
UCB,14.932,5.465,0.933,12.019,1182,Health Care,Pharmaceuticals,Europe,Belgium,Belgium,Jean-Christophe Tellier,http://www.forbes.com/companies/ucb/,0.0776270904401365,0.170722781335773,@ucb_news
Umicore,11.776,16.182,0.374,7.01,1274,Materials,Diversified Metals & Mining,Europe,Belgium,Belgium,Marc Grynberg,http://www.forbes.com/companies/umicore/,0.0533523537803138,0.0231120998640465,@UmicoreGroup
Colruyt,9.578,10.904,0.476,4.791,1364,Consumer Staples,Food Retail,Europe,Belgium,Belgium,Jef Colruyt,http://www.forbes.com/companies/colruyt/,0.0993529534543936,0.0436537050623624,@colruytgroup
Proximus,9.604,6.804,0.605,9.912,1465,Telecommunication Services,Telecommunications services,Europe,Belgium,Belgium,Dominique Leroy,http://www.forbes.com/companies/proximus/,0.0610371267150928,0.0889182833627278,@proximus
Sofina,6.762,0.145,1.016,7.601,1812,Financials,Investment Services,Europe,Belgium,Belgium,Count Goblet d'Alviella,http://www.forbes.com/companies/sofina/,0.133666622812788,7.00689655172414,No Twitter
CEZ Group,12.569,8.338,0.475,32.334,964,Utilities,Electric Utilities,Europe,Czech Republic,Czech Republic,Daniel Beneš,http://www.forbes.com/companies/cez-group/,0.0146904187542525,0.0569680978651955,@cez_group
Møller-Maersk,28.118,39.049,3.064,56.636,262,Industrials,Other Transportation,Europe,Denmark,Denmark,Søren Skou,http://www.forbes.com/companies/moller-maersk/,0.0540998658097323,0.0784655176829112,@Maersk
Danske Bank,16.592,15.446,2.201,548.176,339,Financials,Major Banks,Europe,Denmark,Denmark,Jesper Nielsen,http://www.forbes.com/companies/danske-bank/,0.00401513382563264,0.142496439207562,@DanskeBank_DK
Novo Nordisk,116.33,17.701,6.114,16.968,376,Health Care,Pharmaceuticals,Europe,Denmark,Denmark,Lars Jørgensen,http://www.forbes.com/companies/novo-nordisk/,0.36032531824611,0.345404214451161,@novonordisk
Orsted,31.405,11.486,2.822,26.743,486,Energy,Oil & Gas Operations,Europe,Denmark,Denmark,Henrik Poulsen,http://www.forbes.com/companies/orsted/,0.105522940582582,0.245690405711301,@OrstedDK
Carlsberg,19.285,9.893,0.84,18.03,794,Consumer Staples,Beverages,Europe,Denmark,Denmark,Cees't Hart,http://www.forbes.com/companies/carlsberg/,0.0465890183028286,0.0849085211765895,@carlsberg
Vestas Wind Systems,17.925,11.958,0.807,13.602,847,Industrials,Electrical Equipment,Europe,Denmark,Denmark,Anders Runevad,http://www.forbes.com/companies/vestas-wind-systems/,0.0593295103661226,0.0674862017059709,@Vestas
DSV,15.451,12.513,0.633,5.946,1012,Industrials,Trucking,Europe,Denmark,Denmark,Jens Andersen,http://www.forbes.com/companies/dsv/,0.106458123107972,0.0505873891153201,@DSV_AS
Coloplast,21.927,2.662,0.617,1.856,1361,Health Care,Medical Equipment & Supplies,Europe,Denmark,Denmark,Lars Rasmussen,http://www.forbes.com/companies/coloplast/,0.332435344827586,0.231780616078137,@ColoplastIU_IT
Jyske Bank,3.405,2.424,0.376,91.904,1520,Financials,Regional Banks,Europe,Denmark,Denmark,Anders Dam,http://www.forbes.com/companies/jyske-bank/,0.00409122562674095,0.155115511551155,@jyskebank
Novozymes,13.226,2.278,0.511,3.017,1668,Health Care,Biotechs,Europe,Denmark,Denmark,Peder Nielsen,http://www.forbes.com/companies/novozymes/,0.169373549883991,0.2243195785777,@Novozymes
H Lundbeck,8.296,2.868,0.618,3.525,1899,Health Care,Pharmaceuticals,Europe,Denmark,Denmark,Claus Braestrup,http://www.forbes.com/companies/h-lundbeck/,0.17531914893617,0.215481171548117,@Lundbeck
ISS,5.842,12.348,0.045,7.63,1973,Consumer Discretionary,Business & Personal Services,Europe,Denmark,Denmark,Jeff Gravenhorst,http://www.forbes.com/companies/iss/,0.00589777195281782,0.00364431486880466,@issworld
Drilling Company of 1972,3.202,1.429,0.941,,1977,,,Europe,Denmark,Denmark,Jørn Madsen,http://www.forbes.com/companies/drilling-company-of-1972/,,0.65850244926522,@maerskdrilling
Sampo,25.757,9.493,1.99,56.094,465,Financials,Diversified Insurance,Europe,Finland,Finland,Kari Stadigh,http://www.forbes.com/companies/sampo/,0.0354761650087353,0.209628147055725,@Sampo_plc
Nokia,32.305,26.62,-0.402,46.612,642,Information Technology,Communications Equipment,Europe,Finland,Finland,Rajeev Suri,http://www.forbes.com/companies/nokia/,-0.00862438856946709,-0.0151014274981217,@nokia
UPM-Kymmene,15.243,12.366,1.765,16,709,Materials,Paper & Paper Products,Europe,Finland,Finland,Jussi Pesonen,http://www.forbes.com/companies/upm-kymmene/,0.1103125,0.142730066310852,@UPMGlobal
Neste,27.795,17.601,0.918,9.401,753,Energy,Oil & Gas Operations,Europe,Finland,Finland,Peter Vanacker,http://www.forbes.com/companies/neste/,0.0976491862567812,0.0521561274927561,@NesteGlobal
Fortum,18.301,6.184,0.995,25.617,823,Utilities,Electric Utilities,Europe,Finland,Finland,Pekka Lundmark,http://www.forbes.com/companies/fortum/,0.0388413943865402,0.160899094437257,@Fortum
Kone,27.892,10.701,0.992,8.841,840,Industrials,Construction Services,Europe,Finland,Finland,Henrik Ehrnrooth,http://www.forbes.com/companies/kone/,0.112204501753195,0.0927016166713391,@KONECorporation
Stora Enso,10.086,12.37,1.195,14.688,881,Materials,Paper & Paper Products,Europe,Finland,Finland,Karl-Henrik Sundström,http://www.forbes.com/companies/stora-enso/,0.0813589324618736,0.0966046887631366,@storaenso
Wärtsilä,10.322,6.104,0.455,6.926,1670,Industrials,Heavy Equipment,Europe,Finland,Finland,Jaakko-Veikko Eskola,http://www.forbes.com/companies/wartsila/,0.0656944845509674,0.0745412844036697,@WartsilaVoyage
Kesko,5.647,12.249,0.254,4.919,1978,Consumer Staples,Food Retail,Europe,Finland,Finland,Mikko Helander,http://www.forbes.com/companies/kesko/,0.0516365114860744,0.0207363866438077,@kryhma
Total,149.486,184.202,11.401,256.762,25,Energy,Oil & Gas Operations,Europe,France,France,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.0444029879810875,0.0618940076654977,@TotalEnergies
BNP Paribas,68.712,101.602,8.446,2332.982,34,Financials,Major Banks,Europe,France,France,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.00362025939334294,0.083128284876282,@BNPParibas
AXA Group,63.602,139.662,2.216,1034.487,85,Financials,Diversified Insurance,Europe,France,France,Thomas Buberl,http://www.forbes.com/companies/axa-group/,0.00214212455062268,0.0158668786069224,@AXA
Credit Agricole,38.353,52.245,4.668,1856.926,104,Financials,Regional Banks,Europe,France,France,Dominique Lefebvre,http://www.forbes.com/companies/credit-agricole/,0.00251383199976736,0.0893482629916739,@CreditAgricole
Sanofi,102.042,40.658,5.095,127.356,114,Health Care,Pharmaceuticals,Europe,France,France,Olivier MD,http://www.forbes.com/companies/sanofi/,0.0400059675241057,0.125313591421123,@sanofi
Christian Dior,89.566,55.243,3.037,88.332,143,Consumer Discretionary,Apparel/Accessories,Europe,France,France,Sidney Toledano,http://www.forbes.com/companies/christian-dior/,0.0343816510437893,0.0549752909870934,@Dior
Société Générale,24.476,49.456,4.014,1496.873,157,Financials,Major Banks,Europe,France,France,Frédéric Oudéa,http://www.forbes.com/companies/societe-generale/,0.00268159022174894,0.0811630540278227,@SocieteGenerale
VINCI,55.821,52.088,3.519,86.144,159,Industrials,Construction Services,Europe,France,France,Xavier Huillard,http://www.forbes.com/companies/vinci/,0.0408502043090639,0.0675587467362924,@VINCI
Orange,43.622,48.819,2.305,112.292,186,Telecommunication Services,Telecommunications services,Europe,France,France,Stéphane Richard,http://www.forbes.com/companies/orange/,0.0205268407366509,0.0472152235809828,@orange
L'Oréal,153.01,31.779,4.596,43.963,201,Consumer Staples,Household/Personal Care,Europe,France,France,Jean-Paul Agon,http://www.forbes.com/companies/loreal/,0.104542456156313,0.14462380817521,@LOrealGroupe
Renault,20.873,67.74,3.896,131.458,204,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,France,Hiroto Saikawa,http://www.forbes.com/companies/renault/,0.0296368421853368,0.0575140242102155,@renault_fr
Peugeot,24.945,87.333,3.335,70.82,218,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,France,Carlos Tavares,http://www.forbes.com/companies/peugeot/,0.0470912171702909,0.0381871686533155,@Peugeot
ENGIE,36.155,71.488,1.219,175.704,227,Utilities,Electric Utilities,Europe,France,France,Wilfrid Petrie,http://www.forbes.com/companies/engie/,0.00693780448936848,0.0170518128916741,@ENGIEgroup
Danone,51.234,29.082,2.755,50.501,244,Consumer Staples,Food Processing,Europe,France,France,Emmanuel Faber,http://www.forbes.com/companies/danone/,0.0545533751806895,0.0947321367168695,@Danone
Schneider Electric,47.553,30.343,2.754,48.308,252,Industrials,Electrical Equipment,Europe,France,France,Jean-Pascal Tricoire,http://www.forbes.com/companies/schneider-electric/,0.057009191024261,0.0907622845466829,@SchneiderElec
Air Liquide,56.934,24.788,2.493,47.99,268,Materials,Specialized Chemicals,Europe,France,France,Benoît Potier,http://www.forbes.com/companies/air-liquide/,0.0519483225672015,0.100572857834436,@airliquidegroup
EDF,43.371,81.374,0.7,323.705,269,Utilities,Electric Utilities,Europe,France,France,Jean-Bernard Lévy,http://www.forbes.com/companies/edf/,0.00216246273613321,0.00860225624892472,@EDFofficiel
CNP Assurances,16.46,47.607,1.554,450.365,285,Financials,Diversified Insurance,Europe,France,France,Antoine Lissowski,http://www.forbes.com/companies/cnp-assurances/,0.00345053456640725,0.0326422584913983,@CNP_Assurances
Safran,56.724,24.804,1.514,46.435,311,Industrials,Aerospace & Defense,Europe,France,France,Philippe Petitcolin,http://www.forbes.com/companies/safran/,0.0326047162700549,0.0610385421706176,@SAFRAN
Natixis,18.583,17.476,1.746,566.426,324,Financials,Major Banks,Europe,France,France,François Riahi,http://www.forbes.com/companies/natixis/,0.00308248562036347,0.0999084458686198,@natixis
Kering,72.468,16.122,2.991,24.426,362,Consumer Discretionary,Apparel/Accessories,Europe,France,France,François-Henri Pinault,http://www.forbes.com/companies/kering/,0.122451486121346,0.185522887979159,@KeringGroup
Michelin Group,23.75,25.988,1.964,33.663,382,Consumer Discretionary,Auto & Truck Parts,Europe,France,France,Jean-Dominique Senard,http://www.forbes.com/companies/michelin-group/,0.0583429878501619,0.0755733415422503,@Michelin
EssilorLuxottica,52.859,12.74,1.282,52.892,383,Health Care,Medical Equipment & Supplies,Europe,France,France,Leonardo Vecchio,http://www.forbes.com/companies/essilorluxottica/,0.0242380700294941,0.100627943485086,@Essilor
Bouygues,14.607,41.946,1.547,43.09,424,Industrials,Construction Services,Europe,France,France,Martin Bouygues,http://www.forbes.com/companies/bouygues/,0.0359016012996055,0.0368807514423306,@GroupeBouygues
Pernod Ricard,45.945,10.724,1.713,35.185,455,Consumer Staples,Beverages,Europe,France,France,Alexandre Ricard,http://www.forbes.com/companies/pernod-ricard/,0.0486855193974705,0.159735173442745,@Pernod_Ricard
Thales,25.739,18.705,1.158,29.157,503,Industrials,Aerospace & Defense,Europe,France,France,Patrice Caine,http://www.forbes.com/companies/thales/,0.0397160201666838,0.0619085805934242,@thalesgroup
Saint-Gobain,22.546,49.283,0.495,50.347,523,Materials,Construction Materials,Europe,France,France,Pierre-André de Chalendar,http://www.forbes.com/companies/saint-gobain/,0.00983176753331877,0.0100440314104255,@SaintGobainNA
Sodexo,16.851,24.662,0.749,20.171,662,Consumer Discretionary,Business & Personal Services,Europe,France,France,Suzanne Bergeron,http://www.forbes.com/companies/sodexo/,0.0371325169798225,0.0303706106560701,@SodexoFrance
Carrefour,14.655,91.923,-0.663,54.16,664,Consumer Staples,Food Retail,Europe,France,France,Alexandre Bompard,http://www.forbes.com/companies/carrefour/,-0.0122415066469719,-0.0072125583368689,@GroupeCarrefour
Publicis Groupe,13.392,11.74,1.084,30.957,666,Consumer Discretionary,Advertising,Europe,France,France,Arthur Sadoun,http://www.forbes.com/companies/publicis-groupe/,0.0350163129502213,0.0923339011925043,@PublicisGroupe
Capgemini,20.882,15.569,0.861,18.86,670,Information Technology,Computer Services,Europe,France,France,Paul Hermelin,http://www.forbes.com/companies/capgemini/,0.0456521739130435,0.0553022030958957,@Capgemini
Veolia Environnement,13.09,30.569,0.44,42.974,696,Utilities,Diversified Utilities,Europe,France,France,Antoine Frérot,http://www.forbes.com/companies/veolia-environnement/,0.0102387490110299,0.0143936667866139,@Veolia
Vivendi,36.999,16.436,0.15,39.328,705,Telecommunication Services,Telecommunications services,Europe,France,France,Arnaud de Puyfontaine,http://www.forbes.com/companies/vivendi/,0.00381407648494711,0.0091263081041616,@vivendi
Eiffage,9.56,19.926,0.742,34.715,716,Industrials,Construction Services,Europe,France,France,Benoit de Ruffray,http://www.forbes.com/companies/eiffage/,0.0213740458015267,0.0372377797852053,@eiffage
ATOS,11.341,14.461,0.743,24.665,775,Information Technology,Computer Services,Europe,France,France,Thierry Breton,http://www.forbes.com/companies/atos/,0.0301236570038516,0.0513795726436623,@Atos
Hermès International,71.501,7.039,1.657,8.537,788,Consumer Discretionary,Apparel/Accessories,Europe,France,France,Henri-Louis Bauer,http://www.forbes.com/companies/hermes-international/,0.194096286751786,0.235402756073306,@Hermes_Paris
Valeo,8.649,22.562,0.644,21.116,853,Consumer Discretionary,Auto & Truck Parts,Europe,France,France,Jacques Aschenbroich,http://www.forbes.com/companies/valeo/,0.0304982004167456,0.0285435688325503,@Valeo_Group
Scor,8.097,16.869,0.38,48.289,942,Financials,Diversified Insurance,Europe,France,France,Denis Kessler,http://www.forbes.com/companies/scor/,0.00786928700118039,0.0225265279506788,@SCOR_SE
Air France-KLM,5.345,31.278,0.483,33.217,950,Industrials,Airline,Europe,France,France,Benjamin Smith,http://www.forbes.com/companies/air-france-klm/,0.0145407472077551,0.0154421638212162,@AirFranceKLM
Alstom,10.216,9.759,0.981,15.868,963,Industrials,Conglomerates,Europe,France,France,Henri Poupart-Lafarge,http://www.forbes.com/companies/alstom/,0.0618225359213511,0.100522594528128,@Alstom
Financiere de l'Odet,4.362,27.163,0.145,60.989,1005,Industrials,Conglomerates,Europe,France,France,Cyrille Bolloré,http://www.forbes.com/companies/financiere-de-lodet/,0.00237747790585188,0.0053381437985495,No Twitter
Legrand,19.271,7.075,0.91,11.782,1014,Industrials,Electrical Equipment,Europe,France,France,Benoît Coquart,http://www.forbes.com/companies/legrand/,0.0772364624002716,0.128621908127208,@Legrand
